ecli,"""No ECLI""","""ECLI nr:""","""ECLI-Nummer:""",,
ecliAlias,"""Remplace le Numéro:""","""Remplace le numéro:""","""Vervangt nummer:""","""Ersetzt alte Nummer:""",
rolNumber,"""No Rôle:""","""Rolnummer:""","""Aktenzeichen:""","""No Arrêt/No Rôle:""","""Arrest- Rolnummer:"""
case,"""Affaire:""","""Zaak:""",,,
chamber,"""Chambre:""","""Kamer:""",,,
fieldOfLaw,"""Domaine juridique:""","""Rechtsgebied:""","""Rechtsgebiet:""",,
---,"""Date d'introduction:""","""Invoerdatum:""","""Eintrittsdatum:""",,
---,"""Consultations:""","""Raadplegingen:""","""Konsultationen:""",,
versions,"""Version(s):""","""Versie(s):""","""Version(en):""",,
noticeId,"""Fiche","""Fiches",,,
keywordsCassation,"""Thésaurus Cassation:""","""Thesaurus CAS:""","""Thesaurus CASS:""",,
keywordsUtu,"""Thésaurus UTU:""","""UTU-thesaurus:""","""UTU Thesaurus:""",,
keywordsFree,"""Mots libres:""","""Vrije woorden:""","""Freie Wörter:""",,
legalBasis,"""Bases légales:""","""Wettelijke bepalingen:""","""Rechtsgrundlage:""",,
---,"""Note:""","""Nota:""",,,
---,"""Annotations""","""Annotaties""",,,
fullText,"""Texte de la décision""","""Texte des conclusions""","""Tekst van de beslissing""","""Tekst van de conclusie""","""Text der Entscheidung"""
relatedPublications,"""Publication(s) liée(s)""","""Gerelateerde publicatie(s)""","""Verwandte Veröffentlichung(en)""",,
decision,"""Jugement/arrêt:""","""Vonnis/arrest:""","""Urteil:""",,
citing,"""citant:""","""citeert:""","""zitieren:""",,
precedent,"""précédents:""","""precedenten:""",,,
opinionPublicAttorney,"""Conclusion M.P.:""","""Conclusie O.M.:""",,,
citedin,"""cité par:""","""geciteerd door:""","""zitiert von:""",,
justel,"""Lien JUSTEL:""","""Link JUSTEL:""",,,
seeMoreRecently,"""voir plus récemment:""","""zie ook recenter:""",,,
precededBy,"""précédé par:""","""voorafgegaan door:""",,,
followedBy,"""suivi par:""","""gevolgd door:""",,,
rectification,"""Rectification:""",,,,
